train_cycle,hits_discovered,acquisition_method,architecture,n_start,seed,dataset,enrichment,id
0,2,Similarity,gcn,16,0,ALDH1,0,gcn 16 0 ALDH1
1,16,Similarity,gcn,16,0,ALDH1,-2.4299703734349034,gcn 16 0 ALDH1
2,32,Similarity,gcn,16,0,ALDH1,-3.075498458275115,gcn 16 0 ALDH1
3,42,Similarity,gcn,16,0,ALDH1,-2.1202920409639305,gcn 16 0 ALDH1
4,48,Similarity,gcn,16,0,ALDH1,-1.929753226117167,gcn 16 0 ALDH1
5,57,Similarity,gcn,16,0,ALDH1,-1.6384126116622058,gcn 16 0 ALDH1
6,64,Similarity,gcn,16,0,ALDH1,-1.292454071901936,gcn 16 0 ALDH1
7,68,Similarity,gcn,16,0,ALDH1,-1.1212194958536146,gcn 16 0 ALDH1
8,73,Similarity,gcn,16,0,ALDH1,-0.880044296877353,gcn 16 0 ALDH1
9,81,Similarity,gcn,16,0,ALDH1,0.0984840471501145,gcn 16 0 ALDH1
10,84,Similarity,gcn,16,0,ALDH1,0.14857861614206014,gcn 16 0 ALDH1
11,86,Similarity,gcn,16,0,ALDH1,0.18999719104466006,gcn 16 0 ALDH1
12,90,Similarity,gcn,16,0,ALDH1,0.34971077382828897,gcn 16 0 ALDH1
13,94,Similarity,gcn,16,0,ALDH1,0.5783888891728748,gcn 16 0 ALDH1
14,105,Similarity,gcn,16,0,ALDH1,0.5601764681995038,gcn 16 0 ALDH1
15,117,Similarity,gcn,16,0,ALDH1,0.6047853374158807,gcn 16 0 ALDH1
0,1,Similarity,gcn,16,0,PKM2,0,gcn 16 0 PKM2
1,1,Similarity,gcn,16,0,PKM2,0.85067915990226,gcn 16 0 PKM2
2,1,Similarity,gcn,16,0,PKM2,1.5178967809420807,gcn 16 0 PKM2
3,2,Similarity,gcn,16,0,PKM2,0.6850751027970321,gcn 16 0 PKM2
4,2,Similarity,gcn,16,0,PKM2,0.6243072920215644,gcn 16 0 PKM2
5,3,Similarity,gcn,16,0,PKM2,0,gcn 16 0 PKM2
6,4,Similarity,gcn,16,0,PKM2,-0.5302401385802837,gcn 16 0 PKM2
7,4,Similarity,gcn,16,0,PKM2,-0.49309196036047265,gcn 16 0 PKM2
8,4,Similarity,gcn,16,0,PKM2,-0.46080813025707434,gcn 16 0 PKM2
9,4,Similarity,gcn,16,0,PKM2,-0.4324919199224706,gcn 16 0 PKM2
10,4,Similarity,gcn,16,0,PKM2,-0.4074542533084411,gcn 16 0 PKM2
11,4,Similarity,gcn,16,0,PKM2,-0.385156889258103,gcn 16 0 PKM2
12,4,Similarity,gcn,16,0,PKM2,-0.36517329168826773,gcn 16 0 PKM2
13,4,Similarity,gcn,16,0,PKM2,-0.34716108026628345,gcn 16 0 PKM2
14,4,Similarity,gcn,16,0,PKM2,-0.33084225107132426,gcn 16 0 PKM2
15,4,Similarity,gcn,16,0,PKM2,-0.3159887253463093,gcn 16 0 PKM2
0,1,Similarity,gcn,16,0,VDR,0,gcn 16 0 VDR
1,4,Similarity,gcn,16,0,VDR,-2.5248881859522845,gcn 16 0 VDR
2,5,Similarity,gcn,16,0,VDR,-2.9839771137216347,gcn 16 0 VDR
3,5,Similarity,gcn,16,0,VDR,-2.009627075249889,gcn 16 0 VDR
4,5,Similarity,gcn,16,0,VDR,0,gcn 16 0 VDR
5,5,Similarity,gcn,16,0,VDR,1.1126830001521548,gcn 16 0 VDR
6,5,Similarity,gcn,16,0,VDR,1.0257575072073561,gcn 16 0 VDR
7,6,Similarity,gcn,16,0,VDR,2.378573816198865,gcn 16 0 VDR
8,6,Similarity,gcn,16,0,VDR,3.9921551145868164,gcn 16 0 VDR
9,7,Similarity,gcn,16,0,VDR,4.154993132342904,gcn 16 0 VDR
10,7,Similarity,gcn,16,0,VDR,3.9076783262109918,gcn 16 0 VDR
11,7,Similarity,gcn,16,0,VDR,4.4257812499423625,gcn 16 0 VDR
12,8,Similarity,gcn,16,0,VDR,4.539570358893866,gcn 16 0 VDR
13,8,Similarity,gcn,16,0,VDR,4.310304016082803,gcn 16 0 VDR
14,8,Similarity,gcn,16,0,VDR,4.418703764012995,gcn 16 0 VDR
15,8,Similarity,gcn,16,0,VDR,4.216014855257445,gcn 16 0 VDR
