UMAP1,UMAP2,random,bald,similarity,exploitation,exploitation_static,exploration
10.9527,9.153974,0,0,0,0,0,0
9.879979,-2.9462092,0,0,0,0,0,0
15.187267,1.9143343,0,0,0,0,0,0
10.482342,8.708985,0,0,0,0,0,0
8.011227,-5.641833,0,0,0,0,0,0
13.530194,6.2014103,0,0,0,0,0,0
0.27322444,2.7759974,0,0,0,0,0,0
13.871954,8.605195,0,0,0,0,0,0
14.86326,2.1224098,0,0,0,0,0,0
15.8175955,10.793266,0,0,0,0,0,0
7.711882,-5.6262393,0,0,0,0,0,0
9.835727,-5.784862,0,0,0,0,0,0
18.52166,3.7357347,0,0,0,0,0,0
10.575597,11.5245,0,0,0,0,0,0
10.062547,5.788441,0,0,0,0,0,0
1.0879285,8.347892,0,0,0,0,0,0
0.8424585,7.9373927,0,0,0,0,0,0
5.6338263,0.6183232,0,0,0,0,0,0
12.81839,13.7914505,0,0,0,0,0,0
17.92625,9.297134,0,0,0,0,0,0
10.489558,-2.55104,0,0,0,0,0,0
15.633481,10.962631,0,0,0,0,0,0
0.7841231,-2.1778436,0,0,0,0,0,0
-0.34467253,-1.2049927,0,0,0,0,0,0
15.156672,2.8767612,0,0,0,0,0,0
12.285704,6.543577,0,0,0,0,0,0
-0.31865463,-0.33875564,0,0,0,0,0,0
15.238753,2.2633095,0,0,0,0,0,0
17.149315,0.60623014,0,0,0,0,0,0
2.0101423,15.511043,0,0,0,0,0,0
5.4486175,0.7253012,0,0,0,0,0,0
13.86246,9.065129,0,0,0,0,0,0
6.8384476,16.33701,0,0,0,0,0,0
13.248727,7.4146066,0,0,0,0,0,0
3.7746484,-1.2340728,0,0,0,0,0,0
9.017531,5.7257075,0,0,0,0,0,0
15.104211,-4.6754155,0,0,0,0,0,0
2.8967001,-1.6536486,0,0,0,0,0,0
11.282541,-7.4599266,0,0,0,0,0,0
16.35507,8.0572605,0,0,0,0,0,0
9.687412,9.705319,0,0,0,0,0,0
-1.6137973,5.760072,0,0,0,0,0,0
8.467214,6.7398047,0,0,0,0,0,0
-1.1632576,5.6015277,0,0,0,0,0,0
-0.58135366,-0.27491504,0,0,0,0,0,0
15.674987,9.447862,0,0,0,0,0,0
15.239758,1.8641698,0,0,0,0,0,0
13.001761,10.723836,0,0,0,0,0,0
11.05153,-8.590861,0,0,0,0,0,0
11.795706,10.421643,0,0,0,0,0,0
11.977525,7.1411586,0,0,0,0,0,0
8.700854,-4.9261427,0,0,0,0,0,0
7.6432905,7.7850986,0,0,0,0,0,0
5.5784993,-8.378596,0,0,0,0,0,0
15.848204,-3.5126548,0,0,0,0,0,0
10.994308,5.2784867,0,0,0,0,0,0
