train_cycle,seed,acquisition_method,architecture,bias,metric,value
0,2,Random,mlp,random,MolWt,322.38800000000003
0,2,Random,mlp,random,MolWt,390.8660000000001
0,2,Random,mlp,random,MolWt,364.8160000000001
0,2,Random,mlp,random,MolWt,330.40800000000013
0,2,Random,mlp,random,MolWt,347.439
0,2,Random,mlp,random,MolWt,453.52300000000025
0,2,Random,mlp,random,MolWt,371.3920000000001
0,2,Random,mlp,random,MolWt,372.4100000000001
0,2,Random,mlp,random,MolWt,382.301
0,2,Random,mlp,random,MolWt,477.58300000000014
1,2,Random,mlp,random,MolWt,322.38800000000003
1,2,Random,mlp,random,MolWt,390.8660000000001
1,2,Random,mlp,random,MolWt,364.8160000000001
1,2,Random,mlp,random,MolWt,330.40800000000013
1,2,Random,mlp,random,MolWt,347.439
1,2,Random,mlp,random,MolWt,453.52300000000025
1,2,Random,mlp,random,MolWt,371.3920000000001
1,2,Random,mlp,random,MolWt,372.4100000000001
1,2,Random,mlp,random,MolWt,382.301
1,2,Random,mlp,random,MolWt,477.58300000000014
1,2,Random,mlp,random,MolWt,321.33400000000006
1,2,Random,mlp,random,MolWt,421.5410000000002
1,2,Random,mlp,random,MolWt,285.347
1,2,Random,mlp,random,MolWt,375.42
2,2,Random,mlp,random,MolWt,322.38800000000003
2,2,Random,mlp,random,MolWt,390.8660000000001
2,2,Random,mlp,random,MolWt,364.8160000000001
2,2,Random,mlp,random,MolWt,330.40800000000013
2,2,Random,mlp,random,MolWt,347.439
2,2,Random,mlp,random,MolWt,453.52300000000025
2,2,Random,mlp,random,MolWt,371.3920000000001
2,2,Random,mlp,random,MolWt,372.4100000000001
2,2,Random,mlp,random,MolWt,382.301
2,2,Random,mlp,random,MolWt,477.58300000000014
2,2,Random,mlp,random,MolWt,321.33400000000006
2,2,Random,mlp,random,MolWt,421.5410000000002
2,2,Random,mlp,random,MolWt,285.347
2,2,Random,mlp,random,MolWt,375.42
2,2,Random,mlp,random,MolWt,336.1890000000001
2,2,Random,mlp,random,MolWt,289.3310000000001
2,2,Random,mlp,random,MolWt,350.3740000000001
3,2,Random,mlp,random,MolWt,322.38800000000003
3,2,Random,mlp,random,MolWt,390.8660000000001
3,2,Random,mlp,random,MolWt,364.8160000000001
