index,train_cycle,train_binary_accuracy,train_balanced_accuracy,train_roc_auc,train_precision,train_tpr,train_tp,train_fn,train_fp,train_tn,test_cycle,test_binary_accuracy,test_balanced_accuracy,test_roc_auc,test_precision,test_tpr,test_tp,test_fn,test_fp,test_tn,screen_cycle,screen_binary_accuracy,screen_balanced_accuracy,screen_roc_auc,screen_precision,screen_tpr,screen_tp,screen_fn,screen_fp,screen_tn,hits_discovered,total_mols_screened,acquisition_method,architecture,n_start,batch_size,seed,bias,retrain,dataset,scrambledx,scrambledx_seed,cum_hits_discovered,mean_total_sims,mean_total_hits_sims,n_unique_scaffolds,mean_tani_per_batch,mean_tani_batch_to_start_batch,mean_tani_all_mols_to_start_batch,unique_patterns,Long_chain groups,Bicyclic,Ortho,Meta,Para,Macrocycle groups,Spiro-ring center,CIS or TRANS double bond in a ring,Unfused benzene ring,Multiple non-fused benzene rings,Fused benzene rings,Carbonyl group,Aldehyde,Amide,Carbamate,Carboxylate Ion,Carbonic Acid or Carbonic Ester,Carboxylic acid,Ester Also hits anhydrides,Ketone,Ether,Mono-Hydrogenated Cation,Amidinium,Cyanamide,"Primary or secondary amine, not amide",Enamine or Aniline Nitrogen,Azole,Hydrazine H2NNH2,Hydrazone C=NNH2,Substituted or un-substituted imine,Iminium,Unsubstituted dicarboximide,Substituted dicarboximide,Nitrate group,Nitrile,Nitro group,Hydroxyl,Enol,Phenol,Carbo-Thioester,"Thiol, Sulfide or Disulfide Sulfur",Thioamide,Sulfide,Mono-sulfide,Two Sulfides,Sulfone,Sulfonamide,Sulfoxide,Halogen,Three_halides groups,hit_unique_patterns,hit_Long_chain groups,hit_Bicyclic,hit_Ortho,hit_Meta,hit_Para,hit_Macrocycle groups,hit_Spiro-ring center,hit_CIS or TRANS double bond in a ring,hit_Unfused benzene ring,hit_Multiple non-fused benzene rings,hit_Fused benzene rings,hit_Carbonyl group,hit_Aldehyde,hit_Amide,hit_Carbamate,hit_Carboxylate Ion,hit_Carbonic Acid or Carbonic Ester,hit_Carboxylic acid,hit_Ester Also hits anhydrides,hit_Ketone,hit_Ether,hit_Mono-Hydrogenated Cation,hit_Amidinium,hit_Cyanamide,"hit_Primary or secondary amine, not amide",hit_Enamine or Aniline Nitrogen,hit_Azole,hit_Hydrazine H2NNH2,hit_Hydrazone C=NNH2,hit_Substituted or un-substituted imine,hit_Iminium,hit_Unsubstituted dicarboximide,hit_Substituted dicarboximide,hit_Nitrate group,hit_Nitrile,hit_Nitro group,hit_Hydroxyl,hit_Enol,hit_Phenol,hit_Carbo-Thioester,"hit_Thiol, Sulfide or Disulfide Sulfur",hit_Thioamide,hit_Sulfide,hit_Mono-sulfide,hit_Two Sulfides,hit_Sulfone,hit_Sulfonamide,hit_Sulfoxide,hit_Halogen,hit_Three_halides groups,enrichment,perc_of_tot_patterns,pattern_enrichment_aldehyde,aldehyde_hit_enrichment,pattern_enrichment_sulfonamide,sulfonamide_hit_enrichment
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,64,Random,mlp,64,64,0,Innate,TRUE,ALDH1,NA,NA,2,0.1309,0.0808,63,0.1309,0.1289,0.1289,41,3,25,37,38,38,0,1,5,45,16,0,43,0,35,1,5,0,5,9,5,30,10,2,0,15,23,21,1,4,1,2,0,3,0,1,3,8,1,4,0,12,3,21,21,2,11,10,0,13,3,13,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.48295413384590863,31.70731707317073,0,0,1.2217530690437095,3.491596638655462
1,1,1,1,1,1,1,2,0,0,62,1,0.6097999811172485,0.4876894008869739,0.480415645716289,0.0467439073112265,0.3520561685055166,351,646,7158,11845,1,0.6087296009063721,0.4868775295369312,0.479534674197807,0.0465684971559194,0.3515248796147672,1752,3232,35870,59082,7,128,Random,mlp,64,64,0,Innate,TRUE,ALDH1,NA,NA,5,0.1362,0.1222,124,0.1399,0.137,0.137,42,7,53,76,76,80,0,2,11,88,27,0,94,0,75,3,9,0,9,24,10,70,14,3,0,28,54,39,3,9,3,3,0,5,0,3,7,16,1,10,0,19,5,39,39,4,18,17,1,23,4,27,1,3,4,4,3,0,0,0,5,2,0,6,0,5,1,0,0,0,1,2,4,1,1,0,1,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,2,2,0,1,1,0,2,0,0.9547696273834494,65.85365853658537,0,0,1.038490108687153,0.9975990396158464
2,2,0.9921875,0.9958677685950412,1,0.875,1,7,0,1,120,2,0.5597500205039978,0.5212257569424582,0.5249043451989395,0.0544396256562428,0.4784353059177532,477,520,8285,10718,2,0.55742347240448,0.529409448043199,0.538689796313052,0.0561515480717001,0.4982928298855192,2481,2498,41703,53190,16,192,Random,mlp,64,64,0,Innate,TRUE,ALDH1,NA,NA,9,0.1368,0.1249,185,0.1382,0.135,0.136,42,12,72,111,117,124,0,3,16,139,44,0,138,0,109,4,13,0,13,30,12,98,25,3,0,37,80,64,3,11,3,3,0,5,0,7,7,23,2,13,0,25,9,55,55,6,27,21,1,46,6,30,1,6,10,11,10,0,0,2,14,6,0,10,0,8,1,0,0,0,1,2,11,2,1,0,4,7,6,0,1,0,1,0,0,0,3,0,1,0,0,0,2,1,5,5,0,2,2,0,7,0,1.5206172352854768,73.17073170731707,0,0,0.8552271483305965,0.8728991596638656
3,3,1,1,1,1,1,16,0,0,176,3,0.5715000033378601,0.5430903561603085,0.5612471524978556,0.0593506342371697,0.5115346038114343,510,487,8083,10920,3,0.5725192427635193,0.5571307725727612,0.5840709061726057,0.0623258406093256,0.5400402414486921,2684,2286,40380,54458,19,256,Random,mlp,64,64,0,Innate,TRUE,ALDH1,NA,NA,3,0.1372,0.1265,242,0.1339,0.1357,0.1359,43,16,94,147,155,167,0,4,18,191,58,0,188,0,145,5,21,0,21,38,17,135,28,3,1,46,110,83,4,15,3,4,0,7,0,10,11,29,2,15,0,31,9,67,67,10,35,29,1,63,6,31,1,7,12,13,12,0,0,2,16,7,0,12,0,10,1,0,0,0,1,2,13,2,1,1,6,9,6,0,1,0,1,0,0,0,4,0,1,0,0,0,3,1,6,6,0,3,3,0,7,0,1.3855996532804995,75.60975609756098,0,0,0.8857709750566893,1.102609464838567
4,4,1,1,1,1,1,19,0,0,237,4,0.5672000050544739,0.5536577632703404,0.5749606077612937,0.0614908965991068,0.5386158475426279,537,460,8196,10807,4,0.5675429105758667,0.5623932827357034,0.5894367930634941,0.0632752071032999,0.5566740487215623,2765,2202,40933,53844,21,320,Random,mlp,64,64,0,Innate,TRUE,ALDH1,NA,NA,2,0.1354,0.12164,300,0.1337,0.1301,0.1344,44,22,116,182,190,205,0,6,21,230,69,1,238,0,183,6,28,0,28,47,19,164,32,3,1,58,135,105,7,19,3,4,0,9,0,12,15,37,2,17,0,38,10,82,82,14,39,32,1,85,7,34,1,7,12,13,13,0,0,2,17,8,0,13,0,11,1,1,0,1,1,2,13,2,1,1,6,10,6,0,1,0,1,0,0,0,4,0,1,0,0,0,4,1,7,7,1,3,3,0,8,0,1.2423899118749948,82.92682926829268,0,0,0.7819219641879741,0.9975990396158463
5,5,0.996874988079071,0.9983277591973244,1,0.9545454545454546,1,21,0,1,298,5,0.5603500008583069,0.5429251760966212,0.5738469420786698,0.0590497737556561,0.5235707121364093,522,475,8318,10685,5,0.5631621479988098,0.5559002124303689,0.5818732978497692,0.0617914991253776,0.5478348439073515,2720,2245,41299,53416,25,384,Random,mlp,64,64,0,Innate,TRUE,ALDH1,NA,NA,4,0.1354,0.1233,360,0.1364,0.1345,0.1344,44,25,137,217,227,247,0,7,28,282,89,2,287,0,223,6,31,0,31,61,24,198,43,5,1,71,168,122,7,22,4,6,0,11,0,14,18,52,3,24,0,48,12,103,103,16,51,41,1,103,10,36,1,8,14,16,16,0,0,4,20,9,0,17,0,14,1,2,0,2,3,2,15,3,2,1,7,13,7,0,2,1,2,0,0,0,4,1,1,0,0,0,5,1,8,8,1,3,3,0,9,0,1.2441934979455262,87.8048780487805,0,0,0.834864597179868,0.837983193277311
6,6,1,1,1,1,1,25,0,0,359,6,0.5788000226020813,0.5564357124417509,0.5830284095458507,0.0624484505714622,0.5315947843530592,530,467,7957,11046,6,0.5778188109397888,0.5602882260832636,0.5894633840964435,0.0631873954923341,0.5408183833904455,2683,2278,39778,54877,28,448,Random,mlp,64,64,0,Innate,TRUE,ALDH1,NA,NA,3,0.1364,0.12274,421,0.1343,0.1372,0.1349,44,32,162,256,269,291,0,8,35,325,103,3,340,0,267,8,34,0,34,68,26,231,52,6,1,84,199,142,8,24,4,7,0,13,0,16,22,57,3,28,0,60,13,124,124,21,62,48,1,117,12,36,1,8,17,18,18,0,0,4,22,11,0,19,0,15,1,2,0,2,4,3,16,4,2,1,7,14,8,0,2,1,2,0,0,0,4,2,1,0,0,0,5,1,8,8,1,4,3,0,10,0,1.2025544424817949,87.8048780487805,0,0,0.8377735330585436,0.7481992797118848
7,7,0.9977678656578064,0.9988095238095238,1,0.9655172413793104,1,28,0,1,419,7,0.578249990940094,0.5670757206630153,0.6023584883999997,0.0647237827715355,0.5546639919759278,553,444,7991,11012,7,0.5777985453605652,0.5728556114676815,0.6070970910921631,0.0658797629921075,0.5673658733360226,2813,2145,39886,54708,32,512,Random,mlp,64,64,0,Innate,TRUE,ALDH1,NA,NA,4,0.1355,0.126,476,0.1312,0.1315,0.1344,44,40,183,292,304,332,0,10,39,373,114,3,385,0,295,9,38,0,38,84,33,264,62,7,1,98,223,161,9,26,6,8,0,15,0,20,26,65,4,31,0,70,17,140,140,26,69,53,1,137,16,37,2,9,19,21,21,0,0,4,24,12,0,23,0,16,1,2,0,2,7,4,19,4,2,1,7,15,9,0,2,1,2,0,1,0,4,2,1,0,0,0,6,1,10,10,1,5,4,0,11,0,1.2087239356875932,90.2439024390244,0,0,0.8094114082414575,0.8728991596638656
8,8,1,1,1,1,1,32,0,0,480,8,0.5791000127792358,0.5641966683083508,0.5917334701573541,0.0641372019264654,0.5476429287863591,546,451,7967,11036,8,0.5810952186584473,0.5713643097045851,0.6026617122432978,0.0656873876431072,0.560557125555107,2777,2177,39499,55035,36,576,Random,mlp,64,64,0,Innate,TRUE,ALDH1,NA,NA,4,0.1359,0.1298,532,0.1318,0.1356,0.1345,46,46,211,333,340,375,0,11,44,413,123,6,434,0,335,10,43,0,43,91,36,294,74,9,1,115,254,180,11,29,6,10,2,17,0,21,28,71,4,33,1,85,22,160,160,28,83,66,1,155,20,37,2,11,23,24,24,0,0,4,27,12,0,27,0,19,1,2,0,2,7,5,21,4,2,1,7,17,11,0,2,1,2,0,2,0,4,2,1,0,0,0,8,1,12,12,1,7,5,0,14,0,1.2135663707670086,90.2439024390244,0,0,0.8959522506320535,0.9698879551820727
9,9,0.9947916865348816,0.9972222222222222,1,0.9230769230769232,1,36,0,3,537,9,0.5879499912261963,0.5683786348257001,0.593940797290572,0.0653947684185265,0.5466399197592778,545,452,7789,11214,9,0.583615779876709,0.5730008740487703,0.6075145281874046,0.0661349839304844,0.5612121212121212,2778,2172,39227,55248,37,640,Random,mlp,64,64,0,Innate,TRUE,ALDH1,NA,NA,1,0.1359,0.1299,587,0.1307,0.1338,0.1345,47,48,234,371,374,424,1,12,50,466,146,6,481,0,371,10,47,0,47,103,40,322,82,10,1,129,281,207,14,29,8,11,4,18,0,25,31,83,5,36,1,93,24,176,176,31,93,75,3,176,24,38,2,11,24,25,25,0,0,4,28,13,0,28,0,20,1,2,0,2,7,5,21,4,2,1,8,18,11,1,2,1,2,0,2,0,4,2,1,0,0,0,8,1,12,12,1,7,5,0,15,0,1.1261582187301344,92.6829268292683,0,0,0.9163148017827821,0.9436747672041789
